1996 3   9 170 162 1996-01-09 1996-06-18
1996 4  21 105  85 1996-01-21 1996-04-14
1997 1   5 150 146 1997-01-05 1997-05-30
1997 2  49 121  73 1997-02-18 1997-05-01
1997 3  17 167 151 1997-01-17 1997-06-16
1997 4  31 153 123 1997-01-31 1997-06-02
1998 1   3 132 130 1998-01-03 1998-05-12
1998 2 -99 -99   0  
1998 3   6 167 162 1998-01-06 1998-06-16
1998 4  26 141 116 1998-01-26 1998-05-21
1999 1   3 128 126 1999-01-03 1999-05-08
1999 2  43  97  45 1999-02-12 1999-04-07
1999 3   7 176 170 1999-01-07 1999-06-25
1999 4  26 141 116 1999-01-26 1999-05-21
2000 1  11  88  78 2000-01-11 2000-03-28
2000 2  43  77  35 2000-02-12 2000-03-17
2000 3   2 169 168 2000-01-02 2000-06-17
2000 4  22 133 112 2000-01-22 2000-05-12
2001 1  11 135 125 2001-01-11 2001-05-15
2001 2  52 104  53 2001-02-21 2001-04-14
2001 3  17 154 138 2001-01-17 2001-06-03
2001 4  31 147 117 2001-01-31 2001-05-27
2002 1  17 105  89 2002-01-17 2002-04-15
2002 2  48  88  41 2002-02-17 2002-03-29
2002 3  15 193 179 2002-01-15 2002-07-12
2002 4  27 142 116 2002-01-27 2002-05-22
2003 1   4 152 149 2003-01-04 2003-06-01
2003 2  30 117  88 2003-01-30 2003-04-27
2003 3   7 155 149 2003-01-07 2003-06-04
2003 4  39 139 101 2003-02-08 2003-05-19
2004 1   8 123 116 2004-01-08 2004-05-02
2004 2  27 121  95 2004-01-27 2004-04-30
2004 3  24 152 124 2004-01-24 2004-05-31
2004 4  51 133  83 2004-02-20 2004-05-12
2005 1   5 113 109 2005-01-05 2005-04-23
2005 2  47 116  70 2005-02-16 2005-04-26
2005 3   5 142 138 2005-01-05 2005-05-22
2005 4  21 126 106 2005-01-21 2005-05-06
2006 1  26 113  88 2006-01-26 2006-04-23
2006 2  64  84  15 2006-03-05 2006-03-25
2006 3   7 134 128 2006-01-07 2006-05-14
2006 4  35 109  71 2006-02-04 2006-04-19
2007 1  22 147 126 2007-01-22 2007-05-27
2007 2  39  91  53 2007-02-08 2007-04-01
2007 3  20 185 166 2007-01-20 2007-07-04
2007 4  31 164 134 2007-01-31 2007-06-13
2008 1   7 130 124 2008-01-07 2008-05-09
2008 2  47 127  75 2008-02-16 2008-05-06
2008 3   7 154 142 2008-01-07 2008-06-02
2008 4  17 140 118 2008-01-17 2008-05-19
2009 1   7 116 110 2009-01-07 2009-04-26
2009 2  27 102  76 2009-01-27 2009-04-12
2009 3  13 182 170 2009-01-13 2009-07-01
2009 4  22 157 136 2009-01-22 2009-06-06
2010 1  20  89  68 2010-01-20 2010-03-30
2010 2 -99 -99   0  
2010 3  27 177 151 2010-01-27 2010-06-26
2010 4  91 105  15 2010-04-01 2010-04-15
2011 1  28 103  76 2011-01-28 2011-04-13
2011 2 -99 -99   0  
2011 3  40 140  98 2011-02-09 2011-05-20
2011 4  70 114  45 2011-03-11 2011-04-24
2012 1  15 122 104 2012-01-15 2012-05-01
2012 2 -99 -99   0  
2012 3   7 159 153 2012-01-07 2012-06-07
2012 4  37 137 101 2012-02-06 2012-05-16
2013 1  19 110  92 2013-01-19 2013-04-20
2013 2  54 106  51 2013-02-23 2013-04-16
2013 3  17 189 155 2013-01-17 2013-07-08
2013 4  38 130  93 2013-02-07 2013-05-10
2014 1 -10 160 171 2013-12-21 2014-06-09
2014 2  35 110  76 2014-02-04 2014-04-20
2014 3  -5 160 166 2013-12-26 2014-06-09
2014 4   7 160 154 2014-01-07 2014-06-09
2015 1   7 131 125 2015-01-07 2015-05-11
2015 2  35 129  95 2015-02-04 2015-05-09
2015 3   2 165 164 2015-01-02 2015-06-14
2015 4  14 144 131 2015-01-14 2015-05-24
2016 1  23  94  72 2016-01-23 2016-04-03
2016 2 -99 -99   0  
2016 3   0 185 186 2015-12-31 2016-07-03
2016 4  23 145 123 2016-01-23 2016-05-24
2017 1  17 164 139 2017-01-17 2017-06-13
2017 2  68  91  24 2017-03-09 2017-04-01
2017 3   0 169 170 2016-12-31 2017-06-18
2017 4  24 172 149 2017-01-24 2017-06-21
2018 1   0 116 116 2017-12-31 2018-04-26
2018 2  38  71  34 2018-02-07 2018-03-12
2018 3  10 179 170 2018-01-10 2018-06-28
2018 4  31 151 113 2018-01-31 2018-05-31
2019 1  -2 132 135 2018-12-29 2019-05-12
2019 2  35 104  70 2019-02-04 2019-04-14
2019 3   3 170 168 2019-01-03 2019-06-19
2019 4  32 132 101 2019-02-01 2019-05-12
