"year","phy_PC1","phy_PC2","phy_PC3","zoo_PC1","zoo_PC2","zoo_PC3","phe_PC1","phe_PC2","phe_PC3"
1985,-2.73716840466937,0.481377927611859,-1.30120316058195,NA,NA,NA,NA,NA,NA
1986,-3.60585728997519,-0.967535256965747,-1.28699997086375,NA,NA,NA,NA,NA,NA
1987,-1.40642311248441,-1.37469104182422,-0.917066646706545,NA,NA,NA,NA,NA,NA
1988,-1.26659917876905,-2.10073478154984,-0.786278424402916,NA,NA,NA,NA,NA,NA
1989,-2.64875939956239,-2.88733360767719,0.284587025335298,NA,NA,NA,NA,NA,NA
1990,-3.20486391620932,-1.46372251833029,0.720190635076019,NA,NA,NA,NA,NA,NA
1991,-3.44110583078324,0.957455928369431,0.316083803546307,NA,NA,NA,NA,NA,NA
1992,-4.82735886693054,0.707396382279474,-0.134989855640006,-3.16100667510744,1.07833848452567,-0.290388710854103,NA,NA,NA
1993,-2.87174776080292,2.07336494650313,1.83550145659205,-2.13475778899307,1.92605605049149,-0.224985922848522,NA,NA,NA
1994,-0.697586469021049,1.82351790394369,2.68952102301172,-2.761756394314,0.86341523083514,-1.93338339496407,NA,NA,NA
1995,0.232822409874464,1.4601172495955,2.188669678022,-1.64240568472272,1.6619048370191,-0.550301072324215,NA,NA,NA
1996,-0.208662231506655,2.26683281796296,-0.0956533702051948,-1.66781696430414,1.06690209534701,-1.0476934275618,NA,NA,NA
1997,-0.79005766547988,0.830945395608473,-0.389216014049813,-1.30956580482102,0.0104672581899256,-0.520409993263011,NA,NA,NA
1998,0.880341185814718,1.48716647592768,-0.315797767983121,0.31884670134272,1.40323281949849,0.603599081814374,NA,NA,NA
1999,1.72841934178815,0.229996680792925,1.00005786220608,-1.58610283206411,0.814288136346878,-1.47926031352658,-0.329585301655289,0.120173772902547,-0.540409986069397
2000,0.789115275180416,0.387741280646075,-0.115867385435221,-0.346975652778332,-1.52550940293183,0.15489103369599,0.0207942224278349,-0.943424117054549,-0.175719486285833
2001,1.61756844881319,0.759726076834346,-0.204432283895458,-3.76996858530146,0.211288389826819,-2.05759436126394,-0.25748116874925,0.943616238808207,-0.111895749148641
2002,-0.149013563918271,-0.781123791554001,-0.942219312283145,-3.08228775792447,0.332503268934936,1.19114857101094,0.887235107860705,-0.447098603365472,0.426277284080861
2003,-0.195164909917877,-1.30099567484151,0.667693462938209,-2.95154954353996,0.248015999769823,1.60299309490637,1.62189344201745,-1.24980276125308,-1.49148560164464
2004,0.0767476126067358,-0.985414709807661,-1.23578416523479,-1.9787333042391,0.558878611791285,1.46805573796068,0.945975837523378,-1.35613600040517,0.314038667870604
2005,1.53979239132325,-0.428105695357719,0.0523478226153031,-1.36121069899457,-0.248239694927322,-0.736457021609308,0.663926102926109,-0.406664381605479,0.142829200099977
2006,3.68746202739211,0.95570048906904,-0.682995686578167,-0.0619567571397439,-0.530090827131513,0.283532793199835,-1.24269260114715,1.58044512789242,0.46170114023184
2007,0.394443149509727,-0.891384512429844,-0.656129236920247,0.231001113051487,-0.633323573359121,-0.250098626753475,0.259058199297417,0.717307598595109,0.0150112886139284
2008,0.964048673582817,0.699314689531785,0.853768344453084,0.336104414210284,-0.269505241865449,0.331124210308827,2.2129135664906,1.95133396390677,-0.102495633830637
2009,-0.524010453546402,0.708073380187109,0.0965639448314647,0.737546831219713,-0.807803946258057,0.337625730389469,1.23026488760173,-0.485353195305294,-0.177861564350034
2010,2.12051462512144,2.70940369048472,-2.27985757945373,0.99686155402722,0.434512129489471,0.427583946465211,-3.84213226106497,-0.972882330017355,0.440821113828027
2011,1.11858226121451,1.72458367802445,-1.89420481338527,1.85129426773436,0.0948305428644484,0.499573721947714,-0.685585480583938,-0.100490183284685,1.01707066224984
2012,3.81334821424947,0.210352937144436,0.353945574075906,0.264848784938884,-1.70550316855897,-0.134821891910995,-1.39067574707272,1.1451355304042,0.0149414406076861
2013,1.19420634190504,-0.926712442918406,-1.57963861984366,0.941376293459507,-0.00540589683630437,-0.642096108440187,-3.40120118812907,-1.61062088245732,0.021705334211026
2014,2.26415012837568,-0.816193369241601,2.36558205350879,2.6649433364435,-0.0393156848817091,-0.584241591031866,2.20714245782694,-0.84217241711455,-0.478543644274397
2015,2.06784709517667,-3.17999544927896,1.61566938501483,3.08698140897788,2.13904790532887,-1.058687740252,1.93303965069845,-0.645819182255472,0.625955308899286
2016,4.0849698716482,-2.36912507874009,-0.221847777764085,3.36743943797075,0.565552722881211,-0.142472686345775,-0.831700851364336,2.56087261265907,-0.636437468099193
