"year","transect","BIVCLA","CALFIN","CALGLA","CALHYP","CNICLA","EUPORD","GASCLA","HYPFAM","LARCLA","METLON","METLUC","METRSP","MICRSP","OITHSP","PSEUSP","SCOMIN","TEMLON"
1999,"BB",-1.50866238143452,-1.0185169530202,-2.60617649854938,-2.42164270553873,-1.8206669936534,-1.61520821812126,-0.195888311603973,-0.0556248723869301,0.0806647942407304,-0.529730000225005,0.0679195545659737,-2.47078307275722,-0.748525363196864,-0.9307572192134,-1.06502680313503,-1.7056662325231,-0.674508740495321
2000,"BB",0.562985748191089,-0.939794281688484,-0.119003257898344,-1.96068995761792,-0.309429915669353,-0.832738964430071,-1.44858695955574,-1.12195864464442,-0.0143345779775234,0.72109475157802,-0.497516690638317,-2.33087957243797,-0.882325706143417,-0.347162100044403,-1.77978684276316,-0.604405231701693,-0.294378696978953
2001,"BB",-0.861371978140531,-3.37217699806656,-0.895554964073607,-0.492032287773161,-1.78841583836912,-1.83871369421732,-1.66262271511837,-0.751949254962859,-0.435211919368699,-1.86055207705376,-0.82471589966389,-0.703760216997352,-1.79999801642673,-3.0820051765104,-0.510149815866066,-2.28250450029766,-1.03611093409886
2002,"BB",0.8677290552357,0.162923989685681,0.21483107073098,0.534585782923893,0.421091863497771,0.121860858330407,0.514212788825646,-0.57814106576858,-0.41466217905734,0.721261010490197,-0.607153150433382,0.296341562009502,-1.70472029110568,-0.272095670097177,-0.213649453477261,0.886041642460331,0.137457464723259
2003,"BB",0.812146184478723,0.402229280174573,0.863095767879459,0.513425370041158,0.807281706743161,-1.1161151084287,-0.716798978903734,0.403596408291904,0.569654885129665,0.558973287475185,-0.581124153783515,0.76250728243273,-0.254690922040696,0.741782284691974,-0.119841896279115,-0.64107371528124,0.640163007720096
2004,"BB",-1.70788575642277,0.887156915761273,0.822888030294785,0.210805261770103,2.08798369245504,0.674342671017182,0.0123135912974419,1.52491794894499,-0.566117694397954,-0.495891417559412,-0.63291344662771,0.339987477096779,0.604748978846797,0.812707252278262,-0.20745488290174,0.351625368057539,0.568532600261968
2005,"BB",-0.0849839437312244,0.391532908283988,-0.471983233574465,-0.0489225236042689,0.470337622221028,0.528495115184811,0.544891846774902,0.899222485426297,0.318374223477794,0.379579904695621,-0.622114647802925,-0.167189751483234,-1.43357468513549,-0.577406731614826,-1.22040704821214,-0.739349721691805,1.21242432197863
2006,"BB",1.33981746032513,0.698205329005734,-0.472066165015746,0.084307433707825,1.43875755045456,1.11852940244852,0.864977058021276,-0.546062284175938,-0.66516046863533,-1.14546324002726,-0.653068105777545,0.185594667390053,-0.425363020590033,0.602905187670043,-0.167104748041233,-0.69702003632614,0.781029949874691
2007,"BB",-0.682265885117634,0.696940581979822,0.265319716811453,-0.179490733589592,-0.227983727299414,-0.815836174861416,0.315362204140775,-0.517897456541925,-1.06816708030392,0.69113821581432,-0.661147096717654,0.977869209804933,1.25608019220728,0.748055777179491,-0.571563399352799,-0.454171650869632,-0.938706272789795
2008,"BB",-0.787963718860425,0.325064622598181,0.797030461219624,0.073461232678451,-0.792777917639297,-0.646315777858319,0.532542413450991,-0.546216247814523,-1.09454234121984,0.0412431526588354,-0.653989016749586,-0.041984979114688,0.745344794875502,0.725976065811468,-0.228733206495889,0.657325873955473,0.826973552060807
2009,"BB",1.16411888241845,0.380393924449289,1.31181295495392,1.03797393769297,-0.0207570330185206,0.501813058299383,0.285970734824612,-1.10872373628332,2.27051479646763,-0.493173073519755,2.10460171091198,-0.124245626636745,1.33043763746527,0.683662114304933,0.294988342184695,0.682594930690042,-0.20829052842787
2010,"BB",-0.0700724744612757,0.482513713117414,-0.484868898976213,0.944537525362963,-0.125126971393486,-0.226841964434337,1.48129065299225,0.488042144018679,-1.33090622052919,0.692112139493691,1.9660613465348,1.0289159699477,0.861309753413862,0.754146570774177,0.56631450856926,-0.193810235712028,-0.159364998717146
2011,"BB",-0.101980606674576,0.220302713789853,-0.858402309700496,0.951946066451766,-0.546116043078307,0.816149298835985,-1.97509599488582,-0.428881091354284,-0.360250758132514,2.15594082223555,0.253420336694875,-0.286446973080845,0.904228025064851,0.102968235553725,-0.649838779250066,0.374694084442792,1.65854855409266
2012,"BB",0.238399076053932,0.438224053214772,-1.23571670755155,-0.59886571711786,-0.793018639455002,0.816779670107047,-0.920647202376962,-1.46524975905586,-1.08231376764649,-0.656697916993067,1.79391512112283,0.167371170442371,-0.35031508436128,-0.580123153959005,-0.180996432135146,0.915857814102859,1.47894824375303
2013,"BB",-0.923562503002547,0.844347403265541,0.941618367318559,0.617490603596773,-0.140144749914805,0.811193577812429,0.683351209614483,0.318499688593449,1.1127218011117,-0.33834137117936,-0.541299795531692,0.670382570560301,0.266393826340536,0.989475207416506,1.82567778130096,0.853180044558868,-0.669110332962743
2014,"BB",1.88123988114196,-0.112854705633703,0.579822291771404,-1.07496214631269,0.721078463103369,-0.30862943461192,-0.376058796317414,0.0756775497182809,1.80398296618054,-1.59302555632642,0.999134787261516,0.382723293186308,0.096105501121955,-0.675919208078017,1.52508082447774,0.266186993149736,-0.961892408187436
2015,"BB",0.487070363957306,-0.105076973625694,1.13293938884466,0.868538678774576,-0.218717517018374,0.118085502340729,1.29115049037443,1.01446889885325,0.42331298339658,0.0249262448450308,-0.452574386440815,0.147431909629508,0.718250039347155,0.690770500039372,0.987257715988126,0.65143955513861,-0.227117875907765
