"year","phy_PC1","phy_PC2","phy_PC3","zoo_PC1","zoo_PC2","zoo_PC3","phe_PC1","phe_PC2","phe_PC3"
1985,-3.05323215899414,4.18978981913622,-1.2419599054891,NA,NA,NA,NA,NA,NA
1986,-2.5559077297781,3.75713804808622,-1.62471546456215,NA,NA,NA,NA,NA,NA
1987,-2.46737920541988,-0.539629648415892,-0.358604543863352,NA,NA,NA,NA,NA,NA
1990,-3.06865363403003,0.869158949661816,1.44594639860656,NA,NA,NA,NA,NA,NA
1991,-3.54262852832124,0.00641539073092407,0.865246857439976,NA,NA,NA,NA,NA,NA
1992,-3.10574244004299,0.920396034756308,1.07825695881551,NA,NA,NA,NA,NA,NA
1993,-1.4233586879586,0.952496018535734,1.62173281868033,NA,NA,NA,NA,NA,NA
1994,0.729671317196179,0.02717893654573,2.12719817426475,NA,NA,NA,NA,NA,NA
1995,-0.196637560062324,-0.539319390631279,1.47601812662792,NA,NA,NA,NA,NA,NA
1996,-1.72442827112228,0.0387425973284625,-1.05008582920558,NA,NA,NA,NA,NA,NA
1997,-1.53266570113786,0.376955234709079,-0.824768020971828,NA,NA,NA,NA,NA,NA
1998,-0.836668937248213,-3.64186677225293,-1.05476114844448,NA,NA,NA,NA,NA,NA
1999,2.66279581527212,-0.927522012976952,1.30633079654935,-1.78475579529378,3.47633988058227,-1.06784086076571,-1.42264123854395,1.73417928197441,-1.53088002443012
2000,2.74677327911072,0.896202758384055,0.412396107894018,-0.486431022594613,3.32547142012573,-1.29196709879874,-1.20463820433297,-0.958200595313785,-0.187360597026658
2001,-0.691460976322021,-2.12480263560872,0.0056240849001078,-2.86428962930696,0.810370528209589,-0.982262411291862,1.00370600295763,0.116969078412327,0.4950926302837
2002,0.380069819335343,0.641011065276384,-0.31966384052637,-2.24970744889847,-0.442521965522455,-0.851306042179622,3.00702214047588,0.357166427297578,2.40076136459241
2003,-1.56328861407539,-1.62409446476827,1.11771350170803,-2.36816523338383,-0.339471860229528,-0.448207313894349,2.06246768359512,-1.20319856178901,-1.58792543018514
2004,-3.09685128561449,-2.42701224757892,-0.472275804468419,-1.77407285583128,-1.1114705092582,-0.0159316261865037,-0.0460451300311353,0.0849187127229853,-0.825319244711974
2005,0.698326562350271,-0.857761295550153,0.200300939970205,-0.561311429182909,-0.722655178909862,0.498042349491498,-0.0194093211393523,-0.19183701245949,-1.16776329431071
2006,2.82223901615308,-0.111529036549961,-1.27243290905818,-0.148510041322523,-1.05975093893962,-0.873958304037311,-1.40393039703658,0.131437157501934,0.821745821546257
2007,-1.67777527407555,-1.84406519086858,0.162891028031921,-0.739544157965642,-2.92603447981663,0.286022738261604,0.288746145193079,0.0228006254060459,0.0593391767348117
2008,-0.849654016792355,-1.30888767692475,0.020610319347576,-0.973187700481162,-1.06224525333256,1.90824449786869,2.35890534274404,-0.954076775624547,0.189444102197231
2009,-0.0144758418317992,0.507573849812214,0.0256671046731377,-0.27629604174334,-1.2000502813379,1.21101300125316,0.279663874406816,-0.368453174373733,-1.52283875346674
2010,1.79549728731209,-1.64720477302159,-2.59034347331289,0.760398506022031,-1.5100178314209,-0.179002322598952,-2.97652981625367,0.128292129353289,1.00058705008816
2011,0.622170102340751,0.829292968792798,-2.47102165141503,1.47486720635901,-0.202056110108203,1.49197994510978,-1.03802524688302,-1.14179916468187,1.25630692524468
2012,5.93238465805926,0.286752540469082,0.55192480823465,4.07223169769545,-0.257432537075795,-1.93881174521799,-2.38334045488102,0.632883288062173,-0.32437065876473
2013,2.51016367029074,-0.633175021949157,-0.765572484633579,1.36693566303156,-0.0473184902350923,-0.401103666771867,-2.27627309036657,-1.12000841234265,0.534926619062157
2014,3.19239555361517,2.03049892464823,1.10781892789884,1.80960230718558,0.132080282672299,0.242749537724519,1.45207970822291,1.05691480392366,-1.56738175450614
2015,2.84632027482308,1.37588311045812,1.46770472677882,1.73000788395417,0.919709459502837,1.52048347859123,1.7253574128246,-0.431046143452955,-0.266926473925084
2016,4.46200150696849,0.521383919765775,-0.947176604470739,3.01222809175671,2.21705386509402,0.891855843442417,0.592884589048198,2.10305833538363,2.22256254157791
