"YEAR","STRAT_MEAN_K"
1999,0.775693917998517
2000,0.723046193216875
2001,0.67425281810827
2002,0.743046983223669
2003,0.712922075047332
2004,0.632814023684155
2005,0.811011149113455
2006,0.379419424836478
2007,0.539882590351701
2008,0.513542444471172
2009,0.65161835419319
2010,0.770901804912391
2011,0.747072069651206
2012,0.656306850450117
2013,0.777198324400427
2014,0.827814706792397
2015,0.613223832574792
2016,0.243278488123651
2017,0.509025474525957
