"year","recruitment"
1999,NA
2000,0.0498854494911932
2001,-0.269271663045418
2002,0.496084366701827
2003,-0.65113501650969
2004,0.607731501357595
2005,-1.40598986189603
2006,0.463440165819623
2007,1.61016606189776
2008,-1.83699574751717
2009,1.43050736168824
2010,-1.13139707648692
2011,1.06465907972314
2012,0.137548923999574
2013,-0.806595979456188
2014,0.927436835835169
2015,0.157913497800678
2016,-0.843987899403385
