                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Eastern_Scotian_Shelf     ,  2006,        93.2,       6.076,        13.3,       56.35
Eastern_Scotian_Shelf     ,  2007,        63.0,       1.711,        63.5,       75.83
Eastern_Scotian_Shelf     ,  2008,        92.5,       2.321,        19.6,       31.83
Eastern_Scotian_Shelf     ,  2009,        85.4,       0.961,        34.0,       22.81
Eastern_Scotian_Shelf     ,  2010,        78.7,       9.657,        14.2,       95.86
Eastern_Scotian_Shelf     ,  2011,        91.2,       4.501,        19.2,       60.48
Eastern_Scotian_Shelf     ,  2012,        75.1,       5.691,        22.0,       87.31
Eastern_Scotian_Shelf     ,  2013,       101.2,       6.592,        12.7,       58.66
Eastern_Scotian_Shelf     ,  2014,        99.4,       2.056,        18.7,       26.80
Eastern_Scotian_Shelf     ,  2015,        93.8,       0.803,        26.0,       14.58
Eastern_Scotian_Shelf     ,  2016,        75.4,       3.070,        24.4,       52.25
Eastern_Scotian_Shelf     ,  2017,        91.6,       1.480,        28.0,       28.94
Estuary                   ,  2003,       108.4,      15.243,        90.9,      967.84
Estuary                   ,  2004,       110.3,      13.629,       146.3,     1392.43
Estuary                   ,  2005,       116.9,      12.394,       111.9,      968.02
Estuary                   ,  2006,        78.9,      10.651,       161.6,     1201.47
Estuary                   ,  2007,       102.6,      11.597,       123.6,     1000.82
Estuary                   ,  2008,       107.0,      10.193,        99.6,      708.47
Estuary                   ,  2009,       104.8,       9.716,       132.7,      900.38
Estuary                   ,  2010,        96.4,       8.878,       100.5,      623.11
Estuary                   ,  2011,       117.8,      12.313,        72.9,      626.53
Estuary                   ,  2012,       138.4,      13.586,        39.1,      371.19
Estuary                   ,  2013,            ,            ,            ,            
Estuary                   ,  2014,       104.8,      11.822,        94.1,      776.97
Estuary                   ,  2015,       107.8,      10.887,       104.1,      791.41
Estuary                   ,  2016,            ,            ,            ,            
Estuary                   ,  2017,       113.8,      12.234,       103.7,      885.63
Flemish_Pass              ,  2003,       142.0,       5.309,        15.1,       56.16
Flemish_Pass              ,  2004,        85.5,       1.183,        81.3,       67.15
Flemish_Pass              ,  2005,        97.7,       2.763,        35.0,       67.45
Flemish_Pass              ,  2006,        83.9,       1.699,        53.3,       63.28
Flemish_Pass              ,  2007,       123.2,       3.141,        15.1,       33.07
Flemish_Pass              ,  2008,       101.8,       1.216,        39.0,       33.09
Flemish_Pass              ,  2009,        98.5,       3.540,        45.2,      111.73
Flemish_Pass              ,  2010,        86.5,       1.055,        99.2,       73.05
Flemish_Pass              ,  2011,       117.6,       5.217,        12.0,       43.81
Flemish_Pass              ,  2012,       105.9,       3.643,        22.8,       57.99
Flemish_Pass              ,  2013,        88.6,       1.822,        52.5,       66.83
Flemish_Pass              ,  2014,       124.2,       4.165,        13.2,       38.42
Flemish_Pass              ,  2015,       118.4,       2.178,        19.5,       29.65
Flemish_Pass              ,  2016,        88.7,       1.902,        53.2,       70.64
Flemish_Pass              ,  2017,       104.5,       1.142,        71.2,       56.75
Georges_Bank              ,  2003,        91.9,       5.596,        36.4,      142.10
Georges_Bank              ,  2004,        64.2,       3.653,        69.0,      175.91
Georges_Bank              ,  2005,       101.4,       3.382,        13.4,       31.71
Georges_Bank              ,  2006,        76.6,       2.013,        41.6,       58.42
Georges_Bank              ,  2007,        80.3,       1.360,        43.0,       40.83
