                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Georges_Bank              ,  2000,        65.8,       2.355,        40.3,       66.28
Georges_Bank              ,  2001,       103.4,       3.343,        21.5,       50.20
Georges_Bank              ,  2002,        91.1,       2.884,        19.6,       39.55
Georges_Bank              ,  2003,        84.3,       3.935,        51.7,      142.03
Georges_Bank              ,  2004,        83.0,       4.551,        38.5,      122.28
Georges_Bank              ,  2005,        99.8,       2.953,        14.5,       29.98
Georges_Bank              ,  2006,        84.1,       4.059,        18.8,       53.32
Georges_Bank              ,  2007,            ,            ,            ,            
Green-St._Pierre_Bank     ,  1998,       109.7,       4.607,        21.3,       68.36
Green-St._Pierre_Bank     ,  1999,       107.8,       1.667,        26.3,       30.62
Green-St._Pierre_Bank     ,  2000,        99.3,       0.957,        20.9,       13.99
Green-St._Pierre_Bank     ,  2001,        95.4,       2.075,        39.8,       57.69
Green-St._Pierre_Bank     ,  2002,        93.4,       1.078,        46.8,       35.26
Green-St._Pierre_Bank     ,  2003,       114.1,       1.525,        18.7,       19.95
Green-St._Pierre_Bank     ,  2004,        97.3,       2.114,        32.8,       48.37
Green-St._Pierre_Bank     ,  2005,        91.0,       1.199,        28.7,       24.04
Green-St._Pierre_Bank     ,  2006,       108.5,       9.511,        15.5,      103.23
Green-St._Pierre_Bank     ,  2007,        97.3,       1.611,        31.7,       35.65
Hamilton_Bank             ,  1998,       107.2,       1.188,        60.1,       49.90
Hamilton_Bank             ,  1999,       132.7,       1.968,        41.0,       56.38
Hamilton_Bank             ,  2000,       151.9,       0.603,        41.3,       17.39
Hamilton_Bank             ,  2001,       108.6,       1.411,        94.9,       93.48
Hamilton_Bank             ,  2002,       159.4,       1.275,        54.8,       48.79
Hamilton_Bank             ,  2003,       136.7,       3.128,        30.0,       65.47
Hamilton_Bank             ,  2004,       146.7,       1.697,        20.9,       24.80
Hamilton_Bank             ,  2005,       123.1,       2.218,        17.9,       27.80
Hamilton_Bank             ,  2006,       104.2,       2.404,        41.9,       70.39
Hamilton_Bank             ,  2007,       127.3,       1.083,        70.6,       53.40
Hibernia                  ,  1998,       109.9,       2.744,        21.4,       41.07
Hibernia                  ,  1999,            ,            ,            ,            
Hibernia                  ,  2000,        72.9,       1.194,        54.9,       45.80
Hibernia                  ,  2001,       102.2,       2.567,        25.2,       45.10
Hibernia                  ,  2002,        87.8,       2.104,        69.0,      101.40
Hibernia                  ,  2003,        57.1,       0.642,        99.3,       44.50
Hibernia                  ,  2004,        78.6,       3.442,        55.4,      133.05
Hibernia                  ,  2005,        94.7,       1.806,        31.2,       39.33
Hibernia                  ,  2006,        84.8,       5.158,        42.8,      154.24
Hibernia                  ,  2007,        83.8,       3.140,        46.7,      102.47
Hudson_Strait             ,  1998,       178.3,       1.291,        16.3,       14.69
Hudson_Strait             ,  1999,       150.9,       1.498,       104.2,      109.04
Hudson_Strait             ,  2000,       142.6,       1.599,       119.1,      132.97
Hudson_Strait             ,  2001,       162.4,       1.701,        60.2,       71.45
Hudson_Strait             ,  2002,       186.4,       1.254,        36.8,       32.18
Hudson_Strait             ,  2003,       140.6,       1.213,       111.4,       94.33
Hudson_Strait             ,  2004,            ,            ,            ,            
Hudson_Strait             ,  2005,            ,            ,            ,            
Hudson_Strait             ,  2006,       120.1,       1.378,       143.6,      138.18
Hudson_Strait             ,  2007,       131.3,       1.480,       142.9,      147.69
Lurcher_Shoal             ,  1998,            ,            ,            ,            
Lurcher_Shoal             ,  1999,            ,            ,            ,            
Lurcher_Shoal             ,  2000,            ,            ,            ,            
Lurcher_Shoal             ,  2001,       100.5,       3.809,        20.3,       53.94
Lurcher_Shoal             ,  2002,        94.8,       1.171,        13.9,       11.33
Lurcher_Shoal             ,  2003,        94.8,       1.603,        24.3,       27.20
Lurcher_Shoal             ,  2004,       104.2,       1.058,        22.2,       16.36
Lurcher_Shoal             ,  2005,       102.0,       1.256,        12.6,       11.02
Lurcher_Shoal             ,  2006,        89.9,       2.130,        19.1,       28.46
Lurcher_Shoal             ,  2007,        91.8,       1.017,        22.5,       15.96
Magdalen_Shallows         ,  1998,        92.6,       2.517,        35.4,       62.20
Magdalen_Shallows         ,  1999,        76.9,       1.427,        30.0,       29.90
Magdalen_Shallows         ,  2000,        77.3,       1.715,        70.1,       83.96
Magdalen_Shallows         ,  2001,        92.3,       2.220,        40.1,       62.11
Magdalen_Shallows         ,  2002,        94.3,       7.259,        16.6,       84.25
Magdalen_Shallows         ,  2003,        92.8,       3.215,        34.7,       77.84
Magdalen_Shallows         ,  2004,       102.1,       2.919,        17.2,       35.12
Magdalen_Shallows         ,  2005,            ,            ,            ,            
Magdalen_Shallows         ,  2006,       102.3,       3.142,        21.9,       48.12
Magdalen_Shallows         ,  2007,        77.0,       3.600,        58.0,      145.73
Northeast_GSL             ,  1998,        92.7,       2.443,        27.6,       47.15
Northeast_GSL             ,  1999,       101.7,       1.542,        20.9,       22.45
Northeast_GSL             ,  2000,       118.4,       1.412,        16.8,       16.57
Northeast_GSL             ,  2001,       102.5,       3.235,        17.0,       38.36
Northeast_GSL             ,  2002,        89.4,       0.703,        69.0,       33.87
Northeast_GSL             ,  2003,       112.6,       0.646,        83.7,       37.72
Northeast_GSL             ,  2004,        87.7,       1.831,        43.4,       55.48
Northeast_GSL             ,  2005,        92.3,       0.562,        32.8,       12.87
Northeast_GSL             ,  2006,        94.8,       1.916,        26.8,       35.87
Northeast_GSL             ,  2007,       103.9,       2.317,        23.5,       38.04
Northeast_Nfld_Shelf      ,  1998,       102.8,       2.236,        30.4,       47.53
Northeast_Nfld_Shelf      ,  1999,        81.7,       2.084,        59.6,       86.78
Northeast_Nfld_Shelf      ,  2000,        92.2,       2.125,        56.5,       83.77
Northeast_Nfld_Shelf      ,  2001,       106.1,       0.712,        62.9,       31.26
Northeast_Nfld_Shelf      ,  2002,       112.2,       2.075,        44.4,       64.34
Northeast_Nfld_Shelf      ,  2003,       114.8,       2.265,        36.9,       58.31
Northeast_Nfld_Shelf      ,  2004,       117.0,       1.392,        32.5,       31.58
Northeast_Nfld_Shelf      ,  2005,        99.4,       2.836,        26.9,       53.24
Northeast_Nfld_Shelf      ,  2006,        87.5,       3.466,        42.1,      101.82
Northeast_Nfld_Shelf      ,  2007,        99.2,       1.380,        60.2,       57.96
Northern_Labrador_Shelf   ,  1998,       134.2,       0.804,        50.2,       28.19
Northern_Labrador_Shelf   ,  1999,       143.8,       1.668,        44.7,       52.06
Northern_Labrador_Shelf   ,  2000,       154.8,       0.743,        39.3,       20.40
Northern_Labrador_Shelf   ,  2001,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2002,       159.9,       0.728,        60.2,       30.57
Northern_Labrador_Shelf   ,  2003,       140.2,       2.541,        23.6,       41.79
Northern_Labrador_Shelf   ,  2004,       136.8,       1.275,        38.9,       34.61
Northern_Labrador_Shelf   ,  2005,       140.8,       1.792,        28.9,       36.21
Northern_Labrador_Shelf   ,  2006,       114.0,       1.099,        73.6,       56.48
Northern_Labrador_Shelf   ,  2007,       154.8,       1.373,        37.6,       36.06
Northwest_GSL             ,  1998,        99.8,       7.357,        38.7,      198.97
Northwest_GSL             ,  1999,       117.9,       5.417,        35.8,      135.38
Northwest_GSL             ,  2000,       119.7,       3.850,        46.7,      125.46
Northwest_GSL             ,  2001,       106.1,       6.151,        43.6,      187.33
Northwest_GSL             ,  2002,       124.5,       8.341,        15.4,       89.90
Northwest_GSL             ,  2003,       110.8,       4.392,        61.3,      187.94
Northwest_GSL             ,  2004,       119.5,       5.794,        45.6,      184.46
Northwest_GSL             ,  2005,       100.0,      10.501,        12.6,       92.13
Northwest_GSL             ,  2006,       102.5,       7.756,        23.2,      125.39
Northwest_GSL             ,  2007,       112.1,       5.070,        36.8,      130.13
Southeast_Shoal           ,  1998,        72.0,       1.765,        64.3,       79.18
Southeast_Shoal           ,  1999,        74.4,       4.594,        42.6,      136.68
Southeast_Shoal           ,  2000,        79.7,       2.303,        16.9,       27.19
Southeast_Shoal           ,  2001,        94.3,       3.687,        29.1,       74.85
Southeast_Shoal           ,  2002,        93.5,       5.721,        31.9,      127.48
Southeast_Shoal           ,  2003,       103.3,       2.545,        31.1,       55.19
Southeast_Shoal           ,  2004,        95.4,       2.365,        36.4,       60.12
Southeast_Shoal           ,  2005,        78.2,       1.304,        45.1,       41.03
Southeast_Shoal           ,  2006,        93.7,      12.792,        13.9,      124.41
Southeast_Shoal           ,  2007,        86.2,       2.690,        41.9,       78.77
St.Anthony_Basin          ,  1998,       123.9,       2.990,        17.3,       36.13
St.Anthony_Basin          ,  1999,        97.3,       0.908,        66.8,       42.39
St.Anthony_Basin          ,  2000,       128.6,       1.175,        40.2,       32.97
St.Anthony_Basin          ,  2001,       128.1,       0.891,        26.6,       16.58
St.Anthony_Basin          ,  2002,       133.0,       2.505,        28.7,       50.24
St.Anthony_Basin          ,  2003,       133.3,       2.525,        26.1,       46.08
St.Anthony_Basin          ,  2004,       109.6,       1.961,        47.6,       65.12
St.Anthony_Basin          ,  2005,        99.7,       2.273,        32.9,       52.24
St.Anthony_Basin          ,  2006,        98.5,       3.620,        31.0,       78.30
St.Anthony_Basin          ,  2007,       123.8,       1.908,        43.7,       58.24
Western_Bank              ,  1998,        70.2,       1.503,        20.5,       21.51
Western_Bank              ,  1999,        40.7,       2.444,        24.1,       41.17
Western_Bank              ,  2000,        41.4,       0.615,        88.4,       37.99
Western_Bank              ,  2001,         7.4,       0.806,       118.5,       66.75
Western_Bank              ,  2002,        63.1,       1.675,        31.8,       37.19
Western_Bank              ,  2003,        70.2,       3.668,        19.1,       49.00
Western_Bank              ,  2004,        70.8,       3.306,        22.0,       50.88
Western_Bank              ,  2005,        60.0,       1.040,        34.8,       25.25
Western_Bank              ,  2006,        42.0,       0.947,        59.1,       39.04
Western_Bank              ,  2007,        64.2,       2.411,        43.1,       72.52
Western_Scotian_Shelf     ,  1998,        67.6,       1.050,        43.8,       32.13
Western_Scotian_Shelf     ,  1999,        64.8,       3.117,        24.4,       53.13
Western_Scotian_Shelf     ,  2000,       102.8,       1.444,        11.1,       11.15
Western_Scotian_Shelf     ,  2001,        91.2,       2.465,        31.1,       53.44
Western_Scotian_Shelf     ,  2002,        70.4,       2.215,        41.1,       63.63
Western_Scotian_Shelf     ,  2003,        96.6,       4.481,        16.8,       52.57
Western_Scotian_Shelf     ,  2004,        91.2,       3.729,        19.6,       50.94
Western_Scotian_Shelf     ,  2005,        87.4,       1.121,        17.2,       13.49
Western_Scotian_Shelf     ,  2006,        79.9,       3.600,        26.1,       65.60
Western_Scotian_Shelf     ,  2007,        86.0,       4.707,        20.4,       66.90
