"year","phy_PC1","phy_PC2","phy_PC3","zoo_PC1","zoo_PC2","zoo_PC3","phe_PC1","phe_PC2","phe_PC3"
1983,0.160592901528455,-0.800406792956223,0.351928797078942,NA,NA,NA,NA,NA,NA
1984,1.12541526635287,-7.046711838473,3.03468597941319,NA,NA,NA,NA,NA,NA
1985,-1.70433957780393,-4.01107969597554,-0.719117732024779,NA,NA,NA,NA,NA,NA
1986,-1.03544048977116,-1.7059272338765,-2.1568758390628,NA,NA,NA,NA,NA,NA
1987,-3.18580350858621,-0.514698912427862,0.472128033751185,NA,NA,NA,NA,NA,NA
1993,-1.62313284557273,-1.37136910245941,-1.58336336381514,NA,NA,NA,NA,NA,NA
1994,0.270735442033015,-0.384686292496659,-2.29259367476253,NA,NA,NA,NA,NA,NA
1995,-0.670834037849904,0.782627489121173,-1.34632506719381,NA,NA,NA,NA,NA,NA
1996,-2.40185737089499,-0.388756873850074,-0.0440310992631081,NA,NA,NA,NA,NA,NA
1997,-1.75767190628363,-0.29434778179687,-0.510815622275491,NA,NA,NA,NA,NA,NA
1998,-2.84057091566857,1.3999235732246,2.13137500620794,NA,NA,NA,NA,NA,NA
1999,1.69166750724268,1.26021015303985,0.036307415728067,-2.93270385885723,-3.11446982564027,1.47009038932654,-1.97319372527486,-1.60029523948196,-0.143875339750886
2000,2.60868830055981,0.293792379007377,-0.502112945762409,-1.33849723639106,-2.91721750002966,1.44367222276858,-0.407844554197571,1.10817954809301,0.629686608526328
2001,-1.87221039261376,1.62558839062836,0.831169357997911,-2.91226510013527,-0.65820705397678,-0.13439281586228,-0.261273090585953,0.196946837655246,-0.167540674222217
2002,0.45473420853274,0.62134810042667,-0.250257541004864,-2.79002961589193,0.34637638984316,-0.570656550695237,2.6378802818781,0.904426943575584,-3.64159179253745
2003,-2.56649565804112,1.0415697057016,-0.644111127771056,-2.20884587232683,0.545799317100303,-0.156768756798688,1.90595293974489,-0.821204547792282,1.58005972897574
2004,-3.87252672726203,1.75155937611362,0.409670361563905,-1.3940748212802,1.61001773910878,0.0508362729257794,-0.471330721325203,-0.390873202258495,1.03702131242119
2005,-0.383920239497161,0.863213366666521,0.295644554854781,-0.971996979583559,0.765899379224693,0.212449063147657,-0.046193905682361,-0.404964906385404,0.812246745498683
2006,1.97901801174809,0.809787442640078,1.06033620493992,-0.693811281575171,1.24268502050764,1.86453705678479,-0.906054004131306,0.651104936067304,-1.16116079188013
2007,-2.57635711769146,1.25469904163979,0.326515955453698,-0.73289364290292,2.99851447565176,0.514017809313166,0.679703941312764,-0.270184333600895,-0.27789063510183
2008,-1.81096566916899,0.733657542125577,0.0964047373895511,-1.10617044380215,1.06079620404805,-1.09911779348536,3.27891471416789,0.156663843680859,0.669365025294178
2009,-0.458058750156634,0.138753430788067,-0.409891176316847,-0.436536474636246,1.51456809663981,-0.0796165034625072,0.102208261708111,-1.10892988974485,0.924763416463178
2010,0.685985821035202,1.71916381772603,2.19931305510853,0.715194002072778,1.63619940235029,0.480388869118539,-2.95875083102522,2.03888320565786,-0.136425147063351
2011,0.671032277809396,0.476181230830588,1.06651750257261,0.960596341151633,0.364485653061597,-1.71769186786787,0.872783213592219,2.05989833824049,-0.541990223408878
2012,5.44491575790737,1.16971841381253,-0.145396599964533,3.68323207305936,-0.457186308328586,1.71464339228182,-1.6674666222606,-0.540514236907019,-1.29861021368945
2013,1.6645138159549,1.00649642774087,0.950491951743901,1.07136123745815,0.0460990884517779,0.364735362201561,-1.75693895860247,1.54383967529253,1.10309285509472
2014,2.76231318966774,-0.778562684164886,-1.63360915281241,1.50016320014516,-0.339330243428351,-0.209996131249906,0.466565145311902,-2.89516031245596,0.170420856894446
2015,2.55178110186928,-0.143908586307355,-1.16401610944865,0.617083501167686,-1.11660748862354,-0.573896304985277,1.71018762563718,-0.568121385131176,0.94419083893499
2016,4.25076967835119,0.882224240340836,0.33851675862349,1.94411478807172,-2.63026578647346,-0.830986097411761,-1.68897714206719,-0.528275065035295,0.236181078450053
2017,2.42797812216563,0.267234638685495,0.619347617598346,2.6650701252754,0.298474126269853,-0.609943460539239,-0.544059357008683,-0.333570350692324,0.0974053801976923
2018,NA,NA,NA,3.12677547915051,-1.33169368884922,-0.346895043868162,0.183276046180595,1.11824232923731,-0.605097741394511
2019,0.0100438041039491,-0.657292965475227,-0.817836238547548,1.23423457983017,0.135063003092153,-1.78540911164214,0.844610742627765,-0.316092188014529,-0.230251287702514
