bin,sst
19360017,20.26000
19360018,20.54583
19360019,20.94327
19360020,20.95415
19360021,20.83503
19360022,20.88536
19360023,21.13900
19360024,21.05618
19360025,20.98700
19360026,20.76000
19360027,20.49950
19360028,20.69367
19360029,21.01962
19360030,21.06600
19360031,21.10682
19360032,21.00875
19360033,20.61750
19360034,20.85000
19360035,20.75905
19360036,20.61620
19360037,20.37345
19360038,20.35566
19360039,20.32044
19360040,20.29294
19360041,20.22113
19360042,20.28511
19360043,20.34124
19360044,20.30927
19360045,20.47739
19360046,20.37463
19360047,20.51345
19360048,20.60321
19360049,20.72619
19360050,20.98155
19360051,20.99018
19360052,20.85257
19360053,20.85621
19360054,20.93522
19360055,21.07305
19360056,20.99993
19360057,21.00521
19360058,20.83030
19360059,20.75572
19360060,20.77689
19360061,20.80426
19360062,20.90492
19360063,20.76428
19360064,20.74921
19360065,20.75175
19360066,20.99159
19360067,20.82700
19360068,20.81558
19360069,20.55323
19360070,20.49432
19360071,19.94462
19360072,19.10159
19360073,19.38325
19360074,19.31775
19360075,19.16022
19360076,18.91683
19360077,18.17833
19360078,18.65514
19360079,18.81656
19360080,18.78431
19360081,18.71882
19360082,18.84948
19360083,18.73701
19360084,18.72912
19360085,18.73897
19360086,18.29821
19360087,18.44343
19360088,18.74897
19360089,18.70643
19360090,18.84962
19360091,18.35122
19360092,18.67767
19360093,19.17340
19360094,19.20853
19360095,19.12471
19360096,19.43983
19360097,19.58305
19360098,19.64766
19360099,19.58451
19360100,19.50047
19360101,19.50105
19360102,19.62517
19360103,19.73360
19360104,19.79844
19360105,19.86408
19360106,20.19658
19360107,20.32773
19360108,20.28995
19360109,20.21087
19360110,20.82998
19360111,20.99861
19360112,21.20284
19360113,21.58877
19360114,22.03934
19360115,22.15472
19360116,22.38365
19360117,22.55000
19360118,19.97667
19360119,20.14500
19360120,20.79000
19360121,20.51886
19360122,20.36800
19360123,20.35571
19360124,20.41000
19360125,21.49814
19360126,21.34835
19360127,20.93579
19360128,20.77333
19360129,20.31957
19360130,20.22167
19360132,20.65500
19360133,20.48800
19360134,20.58125
19360135,20.66542
19360136,20.69124
19360137,20.80145
19360138,20.90750
19360139,20.77999
19360140,20.73449
19360141,20.54972
19360142,20.30595
19360143,20.62140
19360144,20.40564
19360145,20.40745
19360146,20.64772
19360147,20.76716
19360148,20.77518
19360149,20.64060
19360150,20.53386
19360151,20.45375
19360152,20.47562
19360153,20.47167
19360154,20.46453
19360155,20.18252
19360156,20.08345
19360157,19.84787
19360158,20.12011
19360159,19.68663
19360160,19.49481
19360161,19.47402
19360162,19.96815
19360163,19.93565
19360164,19.37753
19360165,18.06142
19360166,18.55252
19360167,18.30250
19360168,19.60000
19360169,19.30964
19360170,18.82749
19360171,19.14042
19360172,18.76811
19360173,18.27889
19360174,17.85391
19360175,17.65910
19360176,17.47787
19360177,17.80090
19360178,17.68425
19360179,17.70924
19360180,17.93392
19360181,17.73424
19360182,17.48906
19360183,17.74656
19360184,17.68842
19360185,17.59842
19360186,17.22681
19360187,17.46911
19360188,17.47379
19360189,17.38428
19360190,17.66725
19360191,17.55685
19360192,17.72695
19360193,17.59485
19360194,17.70467
19360195,17.58685
19360196,17.87716
19360197,17.83946
19360198,17.93250
19360199,17.74651
19360200,17.74308
19360201,17.74217
19360202,17.86298
19360203,17.85066
19360204,17.89079
19360205,17.91471
19360206,18.19148
19360207,18.17326
19360208,17.99412
19360209,18.17124
19360210,18.31775
19360211,18.49363
19360212,18.49051
19360213,18.61274
19360214,18.80245
