"station","year","Calanus finmarchicus","Copepods","Non-copepods","Pseudocalanus"
"BBL",1999,-0.123314459561804,1.18098530416709,1.43694292783862,0.591794819357
"BBL",2000,-0.232161348308642,1.3494508475021,1.16958334274113,1.01050367266483
"BBL",2001,1.16208849783169,0.876790989158136,0.0887397977535145,1.35089036903862
"BBL",2002,0.935300333200166,1.14432719844104,-0.608529807794605,0.420933315014183
"BBL",2003,1.55600963150743,1.0204160479268,0.863856244721282,0.754779228139612
"BBL",2004,-1.09177754937999,-1.36120000952991,-0.904204198815829,-0.588915949523611
"BBL",2005,-0.087400960043521,-0.824542584624948,-1.30225030670631,0.170673862569864
"BBL",2006,1.05713502856527,0.256847424752397,-0.662607262172643,-0.735824910561626
"BBL",2007,-0.401021157034794,-1.28227928685877,-0.738712365593397,0.502517908514206
"BBL",2008,0.853955420487613,0.501557134473022,0.277257452161963,1.11863633151646
"BBL",2009,1.23505685695139,-0.714509855923658,-1.28183365106175,0.0265827595289887
"BBL",2010,-0.893224062104517,-0.971191665773343,-0.0859189478156975,-1.97006693502306
"BBL",2011,-0.88931520242275,-1.79375231508717,-1.38715032467232,-1.11494761127643
"BBL",2012,-1.54775899306448,0.393130072452369,1.45853353035516,-2.06512506078664
"BBL",2013,0.554836558627822,-0.113029749506527,-0.100332117041001,0.431066406370019
"BBL",2014,-0.84538287698462,-0.20221340098193,0.350944161831442,0.214720007985328
"BBL",2015,-1.24302571826626,0.539213849413266,1.42568152427046,-0.118218213527742
"BBL",2016,-1.59841679454714,-0.100249411578948,1.23635911182872,-2.37629657352261
"BBL",2017,-2.44505888393985,0.160139273706877,0.963738667453449,-1.06422150976333
"BBL",2018,-1.00906294424848,-0.567044367998107,0.153649308698387,-0.04357017536414
"BBL",2019,-0.0509437775445993,0.382604371948193,0.229242057380874,0.605621211676489
"CSL",1999,1.25174253608524,2.10545040559754,1.32812822543827,0.546988155546171
"CSL",2000,0.596775354295557,0.015180324463377,-0.616584429148395,-0.346305147418905
"CSL",2001,0.131803423268734,-1.34728439704545,-1.47548336763109,-1.20407089970302
"CSL",2002,0.100166080310647,-0.363751385015774,-2.09823551595083,-1.10288481527149
"CSL",2003,0.135550860319911,0.526502892433723,-0.808963994160666,1.08414853632998
"CSL",2004,0.939798816505723,1.17921333048458,0.969856233103703,1.65300731084368
"CSL",2005,0.394116930985441,0.407122673700338,0.190567096341849,0.746797440557301
"CSL",2006,-0.192848844213068,-1.80033562892978,0.616021720985973,-0.161886180613742
"CSL",2007,0.607456378796213,0.412322210930357,-0.0803894266879968,-1.9482511103194
"CSL",2008,0.671523942856591,1.065251735823,0.197866843098298,0.239976713398665
"CSL",2009,0.018263037618755,0.0386673386223842,0.000454055253102585,0.0803107184645409
"CSL",2010,0.562468088553775,0.717515761823104,-0.344314234376687,0.958907079303605
"CSL",2011,-0.265005940724988,-0.450007441858698,0.252734674190064,-0.0968319734054407
"CSL",2012,-0.0535905808028996,-0.504845764249319,-0.981197200840813,-1.51533504941214
"CSL",2013,-0.743124472306459,-1.28706711605175,0.0591838591616478,-0.412037824247793
"CSL",2014,-0.945937375333869,0.0642136401215488,1.69357313688226,0.934871390816802
"CSL",2015,-3.20915823621531,-0.778148580849161,1.09678232434133,0.542595655131171
"CSL",2016,-0.62638896950833,-0.0688987596371141,1.90482487596545,-0.249293128116073
"CSL",2017,-0.25936063605929,-0.0186592946800266,0.661016551211178,0.568903401254795
"CSL",2018,-1.19231372749255,-1.13250152750911,0.706714936880114,-0.555340556474932
"CSL",2019,-0.298902782677443,0.172676923385846,2.47841431695557,0.202999532383541
"HL",1999,-1.07714742984863,2.19709853401059,1.72160851965498,0.54909482461339
"HL",2000,-0.713520661836359,1.34862986127728,1.45215986061154,0.892661210771471
"HL",2001,-1.02826328928408,0.384139667855321,-2.19529819738574,0.546146301812651
"HL",2002,0.882112722601453,-0.348538942350091,-0.22408893440478,1.46278767518222
"HL",2003,1.09790332394999,-0.00308581911027735,0.850939110352739,0.306284235901979
"HL",2004,-0.367853959267828,-1.05582794576214,-0.063498773394486,-0.218211753513708
"HL",2005,-0.146321249105049,1.19673228364374,0.358824590028526,-0.243775967372185
"HL",2006,-0.386961819553453,-1.00048080012405,-1.04907700635462,-2.33440236282481
"HL",2007,-0.631569049367962,-0.0526378536296837,-0.177756756262206,0.475780336912409
"HL",2008,0.896044580055673,-0.0118122431485117,-0.805036411799286,0.681420843086523
"HL",2009,1.62800522879546,0.912501012439974,-0.220599509652827,0.74230441325607
"HL",2010,0.714609659543111,-0.912966981214648,-1.39508813114369,-1.08397621793104
"HL",2011,0.0485502777650045,-0.759506526024841,0.290198785027405,-1.00873783350903
"HL",2012,-1.66469262518997,-0.666590020065771,0.690193939821003,-1.25879683286633
"HL",2013,1.11683328406602,-1.25912016247276,-0.151143408962256,1.11274889248434
"HL",2014,0.941303252977623,-0.778260909745743,-8.23196008132402e-05,-0.73684606216592
"HL",2015,-1.30903224630103,0.809726844421586,0.917744643464528,0.115518296161974
"HL",2016,-0.0129303228248949,-0.123509435055267,0.783965347805184,-1.86016542592947
"HL",2017,0.852799162730306,-0.388465514153366,0.267189000993916,-2.15573301887172
"HL",2018,-1.22121905632349,-1.95619553908309,0.569621772513701,-1.52588882870314
"HL",2019,-0.44820371106757,0.0273841290969605,0.866765563410222,0.78040081327139
"LL",1999,1.15019538244409,2.4300985360726,1.13512823183938,1.36830682987539
"LL",2000,-0.449461067178332,-0.231233116638818,-0.955298226506191,-0.602428055867085
