"station","year","Chlorophyll_A_0_100","Nitrate_0_50","Nitrate_50_150"
"BBL",1999,-0.743738777219831,-0.14361416758911,-0.476733342271832
"BBL",2000,-0.437158209136506,1.81416604715404,0.302513546065606
"BBL",2001,-0.58928940351756,-0.117632405585261,-0.0409846968771205
"BBL",2002,-0.0615772440928196,0.0920740221579518,-0.848591760117058
"BBL",2003,0.975307422325101,-1.75790355593262,-2.07980907390444
"BBL",2004,-0.132732581142195,-0.602158774792212,1.64325395497543
"BBL",2005,-0.414474819122435,-0.00849067907145685,-0.594727429911757
"BBL",2006,-1.11635355580045,-0.0823204633944958,0.304064315817049
"BBL",2007,3.00812418677461,-2.14745456327838,-1.66425573743835
"BBL",2008,-0.68964657012718,1.62202510076455,-0.101569771774766
"BBL",2009,1.3753473453478,0.319089618745116,0.402024226305346
"BBL",2010,-0.193182727935699,-0.630523480101514,0.756815796871665
"BBL",2011,-0.657468905055421,0.894100522190792,0.326319663636045
"BBL",2012,0.431083317955172,-0.344784520715475,1.90060516529914
"BBL",2013,-0.584576549815434,0.624702871067708,0.437187179887012
"BBL",2014,0.12761893298257,0.385839950778261,-0.25052053005764
"BBL",2015,-0.297281862419716,0.0828844776021075,-0.0155915065043576
"BBL",2016,-0.811623952622936,0.205653221476475,-2.21038359592166
"BBL",2017,-0.227163041254218,-0.270805057604956,-3.14937396317061
"BBL",2018,-0.747736149118402,0.46612285009687,-1.30311819953653
"BBL",2019,0.140470924804585,-1.45389686947594,-1.65617911297949
"CSL",1999,1.32673635620375,1.71230488690908,0.259003528482536
"CSL",2000,1.76042292873569,0.650723696301474,1.99082119460115
"CSL",2001,-1.06615969598812,-0.464372822885651,-1.42315317155132
"CSL",2002,1.06688448979349,2.08996348581231,-0.444548024833263
"CSL",2003,-0.368116524818861,-0.0156738893146782,-0.174957346096336
"CSL",2004,0.326580527125891,-1.57574878682543,-1.10918043777921
"CSL",2005,-0.974133107833527,-0.313055602095202,-0.790474212892058
"CSL",2006,-0.32468914932863,-0.48197731106329,1.10184737955117
"CSL",2007,-0.028254153817315,0.389219762956513,-1.17803042226283
"CSL",2008,-0.988382230187919,0.600120471136738,-0.331625987390956
"CSL",2009,0.199491096704753,-0.460376117323364,0.486269404066399
"CSL",2010,-1.35925768236761,-1.53915386129768,-0.900614929933883
"CSL",2011,-0.191016739053962,-0.350856279705919,-0.790180143000035
"CSL",2012,-0.274657194218164,-0.388650002302096,1.11834595181322
"CSL",2013,-1.09035955835582,1.15893672582548,0.300068388893875
"CSL",2014,1.83903692717629,-0.391432210796634,0.520674742474946
"CSL",2015,0.145873710230068,-0.619972145331648,1.36573408585659
"CSL",2016,-0.675326927788715,-2.21789741278859,-1.34053193032571
"CSL",2017,-2.03043781183286,-0.580438220424218,-2.09443510705041
"CSL",2018,0.417067022298431,-1.7786356854861,-0.623498407345858
"CSL",2019,0.191094714752834,-1.84607679907045,-0.867716684245897
"HL",1999,-0.897022739497182,1.76394936486064,0.961602210010076
"HL",2000,-0.00705574022301256,0.399592699912399,1.42805509213723
"HL",2001,-0.402390476165967,0.0598496432120301,0.034395394622346
"HL",2002,-0.12346908999734,-0.826406958351686,-0.411693116983264
"HL",2003,0.66831129337687,-1.20340560758621,-1.56162327766376
"HL",2004,-0.525366598128105,-1.43199192653583,-0.472607194671166
"HL",2005,0.888122488441646,-0.659038103452838,-1.76828654865255
"HL",2006,-1.0774072853932,-0.370416881849638,1.02124193080071
"HL",2007,3.16725296822279,-1.04613340327893,-0.940774657563743
"HL",2008,-0.0290275079538395,1.53191910776177,0.962673392165687
"HL",2009,0.133236959516361,-0.566666595226693,1.06383335392361
"HL",2010,-1.41634937306415,-0.0960496695697912,-0.736322969089746
"HL",2011,-0.0319517669028188,0.511484594459555,-0.92926805715846
"HL",2012,-0.461200265278991,1.09973859404736,0.0357613446212068
"HL",2013,-0.0435703608878156,1.54514145181917,0.0921278096341233
"HL",2014,-0.09669629369628,-0.145096952934652,-0.0711776436472786
"HL",2015,0.254583787631045,-0.566469357286663,1.292062937515
"HL",2016,-0.563204241198405,-0.141475689553181,0.125060431640825
"HL",2017,-0.923837164825649,-0.253634338695971,-2.16276735613416
"HL",2018,-0.361969711942317,0.434568790067602,-0.68495466722004
"HL",2019,-0.0244375397576156,-2.29955645341302,-0.328218784148207
"LL",1999,-0.554789199713671,1.38807947067963,0.7954020473171
"LL",2000,0.167763864100135,1.1484003002673,1.54820152164345
"LL",2001,-0.719620543343891,-1.30326981034633,-1.28550110363961
"LL",2002,-0.042265196043092,-2.33768113484247,-1.62163412099828
"LL",2003,2.91609477099003,0.284471089197113,0.66296677578654
"LL",2004,0.191791020248379,-1.02007376655344,-0.405694987496412
"LL",2005,0.199639938018115,-0.591831560459873,-0.381058967382213
"LL",2006,-0.753854427811203,0.147315827580067,1.90359231295297
"LL",2007,0.949739121013003,0.249202943186908,-0.864547422325881
"LL",2008,-0.497634034896496,1.21804665215728,0.224125347628075
"LL",2009,-0.64108919178141,-0.33103122725769,0.292654125930116
"LL",2010,-1.68399800853565,0.126806344365828,0.602954465904111
"LL",2011,0.958874993422166,-0.290796563806492,-0.860791589449403
"LL",2012,-0.192362176213259,-0.370295251922503,0.14164922881412
"LL",2013,0.293035026015538,0.727102464983443,-0.808941996540237
"LL",2014,0.141511581333456,-0.303056925304306,-0.880346831770453
"LL",2015,-0.732837536802141,1.25861114807554,0.936971193626024
"LL",2016,-0.885580697666506,-1.52368797947897,-1.55199583071117
"LL",2017,-0.774016392946623,1.74345730954025,-2.53474396226927
